id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/0609205,Group Theoretical Formulation of Quantum Partial Search Algorithm,1.954294572487797e-05,1.990182755160072e-06,11.0,1.0
math/0210052,"Criteria for Balance in Abelian Gain Graphs, with Applications to
  Piecewise-Linear Geometry",8.647801664806624e-06,0.0,3.0,2.0
cs/0304018,Quasiconvex Analysis of Backtracking Algorithms,8.557712187303251e-06,0.0,7.0,2.0
quant-ph/0504012,Quantum search algorithms,8.045270554725352e-06,1.9806580323701277e-06,29.0,2.0
cs/0504110,Computing finite-dimensional bipartite quantum separability,7.834818749749407e-06,2.6588858403220847e-06,13.0,3.0
cs/0607105,"Nearly-Linear Time Algorithms for Preconditioning and Solving Symmetric,
  Diagonally Dominant Linear Systems",7.5973090687537055e-06,0.0,2.0,1.0
cs/0605002,"A Hybrid Quantum Encoding Algorithm of Vector Quantization for Image
  Compression",7.301305056369203e-06,0.0,4.0,0.0
cs/0312011,Constraint Optimization and Statistical Mechanics,6.499656301371134e-06,3.980365510320144e-06,10.0,2.0
cs/0106019,Playing Games with Algorithms: Algorithmic Combinatorial Game Theory,6.40862984513277e-06,0.0,6.0,3.0
cond-mat/0510064,Brownian Functionals in Physics and Computer Science,6.3342929101049e-06,1.182413662664242e-05,3.0,4.0
cs/0207082,Dynamic Generators of Topologically Embedded Graphs,5.803550298689531e-06,0.0,4.0,0.0
cs/0309033,Lower bounds for predecessor searching in the cell probe model,5.534495703266921e-06,3.980365510320144e-06,9.0,2.0
cs/0701045,Polygon Convexity: Another O(n) Test,5.430880348249121e-06,0.0,3.0,0.0
cs/0302030,The traveling salesman problem for cubic graphs,5.369996950027008e-06,0.0,2.0,2.0
cond-mat/0109313,"Extreme Value Statistics and Traveling Fronts: An Application to
  Computer Science",5.280933683704502e-06,0.0,3.0,0.0
quant-ph/0412033,"Efficient Quantum Algorithms for the Hidden Subgroup Problem over a
  Class of Semi-direct Product Groups",5.104610747021206e-06,3.980365510320144e-06,3.0,8.0
cs/0301015,Some remarks on the survey decimation algorithm for K-satisfiability,4.8728859175195616e-06,0.0,5.0,7.0
cs/0512090,Collaborative tagging as a tripartite network,4.551505513465682e-06,1.990182755160072e-06,1.0,1.0
cs/0402005,Improved randomized selection,4.527116820765776e-06,0.0,3.0,0.0
quant-ph/0403120,Quantum walks and their algorithmic applications,4.486639015944291e-06,8.929824798545011e-05,27.0,20.0
cs/0608079,"Algorithmic linear dimension reduction in the l_1 norm for sparse
  vectors",4.363259677553194e-06,0.0,2.0,0.0
cs/0702057,"An Efficient Algorithm to Recognize Locally Equivalent Graphs in
  Non-Binary Case",4.194102774161413e-06,0.0,3.0,2.0
cs/0502041,Logarithmic Lower Bounds in the Cell-Probe Model,3.847962259679367e-06,0.0,1.0,0.0
cs/0603043,Time-Space Trade-Offs for Predecessor Search,3.847962259679367e-06,0.0,1.0,0.0
math/0209316,"Cycle and Circle Tests of Balance in Gain Graphs: Forbidden Minors and
  Their Groups",3.820742750620725e-06,0.0,1.0,1.0
cs/0212047,On local equilibrium equations for clustering states,3.76372134866179e-06,5.134800223072416e-06,6.0,8.0
