id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/0607111,`Plausibilities of plausibilities': an approach through circumstances,2.9490507598205e-05,2.392319834497903e-06,14.0,3.0
physics/0703126,The Laplace-Jaynes approach to induction,1.4367904520523772e-05,0.0,9.0,2.0
cs/0602011,"The intuitionistic fragment of computability logic at the propositional
  level",1.1668616013394351e-05,0.0,9.0,0.0
nlin/0610040,Self-organizing traffic lights: A realistic simulation,1.0731190241241008e-05,0.0,2.0,0.0
cs/0302012,The New AI: General & Sound & Relevant for Physics,9.529117872953568e-06,2.985274132740108e-06,6.0,3.0
quant-ph/0203010,Entangled Quantum Networks,7.883278302297784e-06,9.95091377580036e-06,4.0,3.0
cs/0606081,New Millennium AI and the Convergence of History,6.902254640558344e-06,0.0,2.0,0.0
cond-mat/9810144,Relaxation in graph coloring and satisfiability problems,6.461497782047221e-06,0.0,5.0,1.0
cs/0412023,Multidimensional data classification with artificial neural networks,5.762704557658616e-06,0.0,2.0,0.0
cs/0309048,"Goedel Machines: Self-Referential Universal Problem Solvers Making
  Provably Optimal Self-Improvements",5.277481045854505e-06,0.0,2.0,2.0
cs/0307060,Neural realisation of the SP theory: cell assemblies revisited,5.172835476979688e-06,0.0,7.0,0.0
cs/0512100,The logic of interactive Turing reduction,5.056535795997867e-06,0.0,7.0,1.0
cs/0612109,Truncating the loop series expansion for Belief Propagation,4.889969468717268e-06,1.990182755160072e-06,5.0,1.0
cs/0207097,Optimal Ordered Problem Solver,4.861985539809649e-06,0.0,4.0,1.0
cs/0205022,The Traits of the Personable,4.820310432891641e-06,0.0,2.0,0.0
cs/0501031,From truth to computability II,4.817763153020377e-06,0.0,6.0,3.0
quant-ph/0202016,Neural Networks with c-NOT Gated Nodes,4.648085672191587e-06,0.0,3.0,1.0
cs/0402014,"Self-Organising Networks for Classification: developing Applications to
  Science Analysis for Astroparticle Physics",4.509948737656293e-06,1.990182755160072e-06,3.0,1.0
cs/0506089,"Field geology with a wearable computer: 1st results of the Cyborg
  Astrobiologist System",4.411123543442139e-06,0.0,3.0,0.0
