id,title,pagerank,betweenness,in_degree,out_degree
math/0506475,"Foundations of real analysis and computability theory in
  non-Aristotelian finitary logic",1.4713054021283687e-05,5.970548265480216e-06,5.0,1.0
cs/0602011,"The intuitionistic fragment of computability logic at the propositional
  level",1.1668616013394351e-05,0.0,9.0,0.0
quant-ph/0408068,Logical Interpretation of a Reversible Measurement in Quantum Computing,7.226859119057847e-06,3.843224772323347e-06,9.0,2.0
cs/0509042,Computing over the Reals: Foundations for Scientific Computing,5.782188934031143e-06,0.0,3.0,2.0
quant-ph/0412199,The internal logic of Bell's states,5.700610271638122e-06,2.4074853023486223e-06,4.0,3.0
cs/0309048,"Goedel Machines: Self-Referential Universal Problem Solvers Making
  Provably Optimal Self-Improvements",5.277481045854505e-06,0.0,2.0,2.0
cs/0512100,The logic of interactive Turing reduction,5.056535795997867e-06,0.0,7.0,1.0
cs/0501031,From truth to computability II,4.817763153020377e-06,0.0,6.0,3.0
cs/0508005,Logic Column 13: Reasoning Formally about Quantum Systems: An Overview,4.614769677572098e-06,0.0,2.0,0.0
quant-ph/0406137,A possible hypercomputational quantum algorithm,4.525970687854925e-06,3.847386971955117e-06,4.0,3.0
quant-ph/0110136,Quantum Algorithm for Hilbert's Tenth Problem,4.347813453403003e-06,4.655716232492101e-05,9.0,18.0
cs/0604064,Quantum Fuzzy Sets: Blending Fuzzy Set Theory and Quantum Computation,4.229423834443482e-06,0.0,4.0,0.0
quant-ph/0307150,A Lambda Calculus for Quantum Computation,4.146819935981829e-06,1.7228205846079208e-05,8.0,8.0
quant-ph/0203034,Computing the Noncomputable,3.986394700128077e-06,8.72168156575949e-06,9.0,6.0
cs/0610123,Proof Nets and the Identity of Proofs,3.854738769324236e-06,0.0,4.0,0.0
cs/0605054,From Proof Nets to the Free *-Autonomous Category,3.854738769324236e-06,0.0,4.0,0.0
cs/0611018,"Logic Column 17: A Rendezvous of Logic, Complexity, and Algebra",3.7325727755918313e-06,0.0,3.0,0.0
cs/0702036,Efficient First-Order Temporal Logic for Infinite-State Systems,3.62335329328243e-06,0.0,2.0,0.0
quant-ph/0312174,"Quantum Computation, Categorical Semantics and Linear Logic",3.6103580783586375e-06,6.965639643060252e-06,4.0,8.0
cs/0608051,Modules over Monads and Linearity,3.5785533883780654e-06,0.0,3.0,0.0
cs/0401015,Query Answering in Peer-to-Peer Data Exchange Systems,3.4370183180622248e-06,0.0,2.0,0.0
cs/0702041,The Fibers and Range of Reduction Graphs in Ciliates,3.3749066596554898e-06,0.0,1.0,0.0
cs/0601014,Probabilistic bisimilarities between quantum processes,3.169987423827245e-06,0.0,2.0,1.0
cs/0603054,Testing Graph Isomorphism in Parallel by Playing a Game,3.157191212357669e-06,0.0,2.0,0.0
cs/0609102,Using groups for investigating rewrite systems,3.010089461026824e-06,0.0,1.0,0.0
cs/0005010,Extending and Implementing the Stable Model Semantics,2.9851365543205523e-06,0.0,2.0,0.0
quant-ph/0701171,Turning the Liar paradox into a metatheorem of Basic logic,2.944606357632e-06,0.0,3.0,0.0
cs/0608032,Satisfying KBO Constraints,2.923024895913817e-06,0.0,1.0,0.0
quant-ph/0504021,Numerical Simulations of a Possible Hypercomputational Quantum Algorithm,2.866344023987048e-06,0.0,2.0,1.0
cs/0512086,On the Axiomatisation of Boolean Categories with and without Medial,2.6396299366154303e-06,0.0,3.0,2.0
math/0506553,Introduction to Cirquent Calculus and Abstract Resource Semantics,2.6287771387444115e-06,0.0,1.0,2.0
cs/0207057,Physical Traces: Quantum vs. Classical Information Processing,2.563114877646984e-06,0.0,2.0,8.0
